Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
308000,0.77876157,0.0038737804,499.0,11.689999341964722,11.689999341964722,1.0
309000,0.7835487,0.5804097,759.0,-3.7449998358885446,-3.7449998358885446,1.0
310000,0.80756885,0.28418392,499.0,-8.644999489188194,-8.644999489188194,1.0
311000,0.88729304,-0.22927773,499.0,2.9549998342990875,2.9549998342990875,1.0
312000,0.8244199,0.8895889,499.0,-12.47999918460846,-12.47999918460846,1.0
313000,0.68696266,1.4514935,499.0,7.637499514967203,7.637499514967203,1.0
314000,0.73792756,1.3966309,579.0,13.964999184012413,13.964999184012413,1.0
315000,0.79991156,1.1425836,499.0,10.414999276399612,10.414999276399612,1.0
316000,0.7753043,1.0512486,499.0,9.409999370574951,9.409999370574951,1.0
317000,0.82595366,-0.2755046,739.0,17.572498992085457,17.572498992085457,1.0
318000,0.84750766,-0.5904635,499.0,-0.2749999761581421,-0.2749999761581421,1.0
319000,0.84738,-0.07833029,499.0,-0.2574999928474426,-0.2574999928474426,1.0
320000,0.8030873,0.3026703,499.0,-0.8500002026557922,-0.8500002026557922,1.0
321000,0.8302069,1.0702837,499.0,11.139999240636826,11.139999240636826,1.0
322000,0.7982818,0.9373678,499.0,9.217499364167452,9.217499364167452,1.0
323000,0.74953693,0.49025276,499.0,9.362499415874481,9.362499415874481,1.0
324000,0.80467504,0.7072034,499.0,-0.3674998879432678,-0.3674998879432678,1.0
325000,0.76221913,0.84681416,499.0,9.95999924838543,9.95999924838543,1.0
326000,0.7818528,0.5913789,499.0,11.654999285936356,11.654999285936356,1.0
327000,0.7631722,0.6858611,499.0,-0.1549999713897705,-0.1549999713897705,1.0
328000,0.72197676,1.012666,499.0,-1.0025000721216202,-1.0025000721216202,1.0
329000,0.8826701,0.8015193,499.0,11.999999165534973,11.999999165534973,1.0
330000,0.91223806,0.5020122,499.0,10.882499247789383,10.882499247789383,1.0
331000,0.7434498,0.63122034,499.0,-7.147499576210976,-7.147499576210976,1.0
332000,0.82170767,0.08701232,499.0,11.729999125003815,11.729999125003815,1.0
333000,0.89463234,-0.62158364,499.0,-0.3850001096725464,-0.3850001096725464,1.0
334000,0.8556788,0.12884663,499.0,5.1449995040893555,5.1449995040893555,1.0
335000,0.67262197,1.3116019,499.0,-1.317500114440918,-1.317500114440918,1.0
336000,0.7729935,0.52451503,699.0,7.0299995467066765,7.0299995467066765,1.0
337000,0.9487256,-0.84267724,499.0,6.779999524354935,6.779999524354935,1.0
338000,0.8607699,0.1106436,499.0,-7.3549995720386505,-7.3549995720386505,1.0
339000,0.7582864,0.92569345,None,7.464999467134476,7.464999467134476,1.0
340000,0.72835976,1.0911438,879.0,7.122499279677868,7.122499279677868,1.0
341000,0.7899253,0.11816493,499.0,11.674999117851257,11.674999117851257,1.0
342000,0.8090709,0.16842096,499.0,-0.7499999180436134,-0.7499999180436134,1.0
343000,0.8146677,0.34014845,514.0,11.709999218583107,11.709999218583107,1.0
344000,0.83082235,0.48264596,499.0,-11.359999239444733,-11.359999239444733,1.0
345000,0.7372166,1.1659,499.0,2.7633330821990967,2.7633330821990967,1.0
346000,0.7426593,1.397676,499.0,6.3949993550777435,6.3949993550777435,1.0
347000,0.79583216,1.3953571,572.3333333333334,12.431666033963362,12.431666033963362,1.0
348000,0.8914192,0.6775217,499.0,12.299999237060547,12.299999237060547,1.0
349000,1.0085738,0.03772196,612.3333333333334,-3.3749998658895493,-3.3749998658895493,1.0
350000,0.9154935,-0.18834844,499.0,0.2449999898672104,0.2449999898672104,1.0
351000,0.87323,0.6428455,499.0,-3.0949997529387474,-3.0949997529387474,1.0
352000,0.7051296,1.121357,589.0,2.30166644975543,2.30166644975543,1.0
353000,0.71524084,1.3305458,499.0,11.029999196529388,11.029999196529388,1.0
354000,0.7452543,1.2343261,499.0,12.144999206066132,12.144999206066132,1.0
355000,0.82220507,0.4101176,544.0,5.439999654889107,5.439999654889107,1.0
356000,0.7085354,1.4363711,519.0,11.929999113082886,11.929999113082886,1.0
357000,0.7076355,1.3595548,499.0,11.209999144077301,11.209999144077301,1.0
358000,0.74233395,1.0446086,499.0,11.977499276399612,11.977499276399612,1.0
359000,0.78771377,0.48939052,499.0,-2.0099999383091927,-2.0099999383091927,1.0
360000,0.7817491,0.5049021,499.0,12.214999198913574,12.214999198913574,1.0
361000,0.77648103,0.6945146,499.0,-0.8125000298023224,-0.8125000298023224,1.0
362000,0.7764712,0.7020314,499.0,11.322499126195908,11.322499126195908,1.0
363000,0.8284589,0.17817973,499.0,11.344999194145203,11.344999194145203,1.0
364000,0.8914189,-0.19516078,499.0,-0.11250001192092896,-0.11250001192092896,1.0
365000,0.9557847,0.48658973,499.0,-10.279999375343323,-10.279999375343323,1.0
366000,0.85538685,0.74554133,499.0,9.984999239444733,9.984999239444733,1.0
367000,0.7674849,0.6878195,499.0,-2.8349998742341995,-2.8349998742341995,1.0
368000,0.8264517,1.2603265,499.0,9.092499345541,9.092499345541,1.0
369000,0.79734606,0.70921814,499.0,12.044999301433563,12.044999301433563,1.0
370000,0.86735183,0.49977958,569.0,-12.439999222755432,-12.439999222755432,1.0
371000,0.8998248,0.2343331,499.0,9.299999326467514,9.299999326467514,1.0
372000,0.8146741,0.038632333,559.0,10.309999346733093,10.309999346733093,1.0
373000,0.7717357,0.6531379,499.0,-9.862499415874481,-9.862499415874481,1.0
374000,0.7747804,0.87166697,499.0,12.219999313354492,12.219999313354492,1.0
375000,0.71740067,1.3165318,715.6666666666666,8.689999600251516,8.689999600251516,1.0
376000,0.84352976,0.2003197,None,None,None,1.0
377000,0.8342771,-0.11785308,621.5,3.3162496220320463,3.3162496220320463,1.0
378000,0.8945257,-0.32472008,None,None,None,1.0
379000,0.8658727,-0.41286346,499.0,-4.379999756813049,-4.379999756813049,1.0
380000,0.7317563,1.213443,569.0,-10.034999549388885,-10.034999549388885,1.0
381000,0.6786669,1.0863535,499.0,0.5825000256299973,0.5825000256299973,1.0
382000,0.875981,1.3297907,629.0,15.334999024868011,15.334999024868011,1.0
383000,0.8208344,1.5064235,499.0,-0.2724999487400055,-0.2724999487400055,1.0
384000,0.7825776,0.9783759,499.0,12.254999279975891,12.254999279975891,1.0
385000,0.8200778,0.24687098,499.0,11.369998931884766,11.369998931884766,1.0
386000,0.76531243,1.0295782,582.3333333333334,5.488332957029343,5.488332957029343,1.0
