년도,구분,죄종,발생검거,건수
2019,도봉,강도,발생,5
2019,도봉,강도,검거,5
2019,도봉,강간,발생,90
2019,도봉,강간,검거,83
2019,도봉,절도,발생,790
2019,도봉,절도,검거,394
2019,도봉,폭력,발생,1224
2019,도봉,폭력,검거,1014
2019,수서,살인,발생,2
2019,수서,살인,검거,1
2019,수서,강도,발생,2
2019,수서,강도,검거,3
2019,수서,강간,발생,170
2019,수서,강간,검거,151
2019,수서,절도,발생,967
2019,수서,절도,검거,461
2019,수서,폭력,발생,1470
2019,수서,폭력,검거,1276
