Hedge 5: X: -1.475000, Y: 0.806000, Z: -1.139000, Angle: 0 at time T: 6877361
Hedge 5: X: -1.472000, Y: 0.805000, Z: -1.141000, Angle: 0 at time T: 6877537
Hedge 5: X: -1.470000, Y: 0.808000, Z: -1.141000, Angle: 0 at time T: 6877714
Hedge 5: X: -1.478000, Y: 0.807000, Z: -1.139000, Angle: 0 at time T: 6877878
Hedge 5: X: -1.474000, Y: 0.811000, Z: -1.136000, Angle: 0 at time T: 6878041
Hedge 5: X: -1.469000, Y: 0.810000, Z: -1.140000, Angle: 0 at time T: 6878204
Hedge 5: X: -1.472000, Y: 0.809000, Z: -1.141000, Angle: 0 at time T: 6878374
Hedge 5: X: -1.471000, Y: 0.812000, Z: -1.137000, Angle: 0 at time T: 6878548
Hedge 5: X: -1.472000, Y: 0.812000, Z: -1.135000, Angle: 0 at time T: 6878725
Hedge 5: X: -1.477000, Y: 0.806000, Z: -1.142000, Angle: 0 at time T: 6878899
Hedge 5: X: -1.477000, Y: 0.808000, Z: -1.139000, Angle: 0 at time T: 6879077
Hedge 5: X: -1.474000, Y: 0.810000, Z: -1.136000, Angle: 0 at time T: 6879255
Hedge 5: X: -1.469000, Y: 0.813000, Z: -1.139000, Angle: 0 at time T: 6879436
Hedge 5: X: -1.469000, Y: 0.809000, Z: -1.141000, Angle: 0 at time T: 6879610
Hedge 5: X: -1.471000, Y: 0.812000, Z: -1.137000, Angle: 0 at time T: 6879784
Hedge 5: X: -1.474000, Y: 0.811000, Z: -1.139000, Angle: 0 at time T: 6879961
Hedge 5: X: -1.470000, Y: 0.810000, Z: -1.141000, Angle: 0 at time T: 6880137
Hedge 5: X: -1.474000, Y: 0.810000, Z: -1.137000, Angle: 0 at time T: 6880309
Hedge 5: X: -1.469000, Y: 0.810000, Z: -1.141000, Angle: 0 at time T: 6880495
Hedge 5: X: -1.468000, Y: 0.813000, Z: -1.135000, Angle: 0 at time T: 6880673
Hedge 5: X: -1.473000, Y: 0.812000, Z: -1.135000, Angle: 0 at time T: 6880849
Hedge 5: X: -1.472000, Y: 0.814000, Z: -1.137000, Angle: 0 at time T: 6881026
Hedge 5: X: -1.474000, Y: 0.811000, Z: -1.135000, Angle: 0 at time T: 6881189
Hedge 5: X: -1.469000, Y: 0.808000, Z: -1.141000, Angle: 0 at time T: 6881352
Hedge 5: X: -1.472000, Y: 0.809000, Z: -1.142000, Angle: 0 at time T: 6881520
Hedge 5: X: -1.477000, Y: 0.805000, Z: -1.143000, Angle: 0 at time T: 6881685
Hedge 5: X: -1.473000, Y: 0.799000, Z: -1.142000, Angle: 0 at time T: 6881859
Hedge 5: X: -1.475000, Y: 0.796000, Z: -1.148000, Angle: 0 at time T: 6882035
Hedge 5: X: -1.471000, Y: 0.794000, Z: -1.149000, Angle: 0 at time T: 6882210
Hedge 5: X: -1.472000, Y: 0.796000, Z: -1.147000, Angle: 0 at time T: 6882388
Hedge 5: X: -1.469000, Y: 0.796000, Z: -1.148000, Angle: 0 at time T: 6882573
Hedge 5: X: -1.471000, Y: 0.792000, Z: -1.150000, Angle: 0 at time T: 6882749
Hedge 5: X: -1.470000, Y: 0.793000, Z: -1.150000, Angle: 0 at time T: 6882922
Hedge 5: X: -1.472000, Y: 0.794000, Z: -1.151000, Angle: 0 at time T: 6883097
Hedge 5: X: -1.471000, Y: 0.794000, Z: -1.152000, Angle: 0 at time T: 6883273
Hedge 5: X: -1.473000, Y: 0.795000, Z: -1.150000, Angle: 0 at time T: 6883449
Hedge 5: X: -1.465000, Y: 0.795000, Z: -1.150000, Angle: 0 at time T: 6883626
Hedge 5: X: -1.473000, Y: 0.797000, Z: -1.147000, Angle: 0 at time T: 6883802
Hedge 5: X: -1.474000, Y: 0.796000, Z: -1.148000, Angle: 0 at time T: 6883981
Hedge 5: X: -1.471000, Y: 0.798000, Z: -1.147000, Angle: 0 at time T: 6884156
Hedge 5: X: -1.465000, Y: 0.799000, Z: -1.147000, Angle: 0 at time T: 6884333
Hedge 5: X: -1.407000, Y: 0.832000, Z: -1.141000, Angle: 0 at time T: 6884496
