Hedge 5: X: -1.258000, Y: 0.932000, Z: -1.137000, Angle: 0 at time T: 8994521
Hedge 5: X: -1.262000, Y: 0.933000, Z: -1.137000, Angle: 0 at time T: 8994695
Hedge 5: X: -1.259000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8994869
Hedge 5: X: -1.262000, Y: 0.930000, Z: -1.140000, Angle: 0 at time T: 8995046
Hedge 5: X: -1.262000, Y: 0.932000, Z: -1.136000, Angle: 0 at time T: 8995222
Hedge 5: X: -1.260000, Y: 0.930000, Z: -1.141000, Angle: 0 at time T: 8995394
Hedge 5: X: -1.259000, Y: 0.932000, Z: -1.139000, Angle: 0 at time T: 8995577
Hedge 5: X: -1.259000, Y: 0.933000, Z: -1.139000, Angle: 0 at time T: 8995752
Hedge 5: X: -1.263000, Y: 0.935000, Z: -1.135000, Angle: 0 at time T: 8995925
Hedge 5: X: -1.263000, Y: 0.933000, Z: -1.140000, Angle: 0 at time T: 8996099
Hedge 5: X: -1.259000, Y: 0.932000, Z: -1.136000, Angle: 0 at time T: 8996262
Hedge 5: X: -1.258000, Y: 0.934000, Z: -1.136000, Angle: 0 at time T: 8996425
Hedge 5: X: -1.264000, Y: 0.931000, Z: -1.141000, Angle: 0 at time T: 8996593
Hedge 5: X: -1.264000, Y: 0.932000, Z: -1.141000, Angle: 0 at time T: 8996758
Hedge 5: X: -1.265000, Y: 0.932000, Z: -1.141000, Angle: 0 at time T: 8996933
Hedge 5: X: -1.264000, Y: 0.931000, Z: -1.140000, Angle: 0 at time T: 8997108
Hedge 5: X: -1.264000, Y: 0.933000, Z: -1.139000, Angle: 0 at time T: 8997283
Hedge 5: X: -1.257000, Y: 0.932000, Z: -1.139000, Angle: 0 at time T: 8997461
Hedge 5: X: -1.260000, Y: 0.936000, Z: -1.133000, Angle: 0 at time T: 8997643
Hedge 5: X: -1.262000, Y: 0.935000, Z: -1.137000, Angle: 0 at time T: 8997819
Hedge 5: X: -1.258000, Y: 0.933000, Z: -1.138000, Angle: 0 at time T: 8997992
Hedge 5: X: -1.266000, Y: 0.934000, Z: -1.139000, Angle: 0 at time T: 8998167
Hedge 5: X: -1.259000, Y: 0.935000, Z: -1.137000, Angle: 0 at time T: 8998344
Hedge 5: X: -1.267000, Y: 0.934000, Z: -1.138000, Angle: 0 at time T: 8998521
Hedge 5: X: -1.255000, Y: 0.935000, Z: -1.136000, Angle: 0 at time T: 8998697
Hedge 5: X: -1.261000, Y: 0.933000, Z: -1.140000, Angle: 0 at time T: 8998871
Hedge 5: X: -1.263000, Y: 0.934000, Z: -1.136000, Angle: 0 at time T: 8999046
Hedge 5: X: -1.264000, Y: 0.932000, Z: -1.140000, Angle: 0 at time T: 8999219
Hedge 5: X: -1.263000, Y: 0.932000, Z: -1.143000, Angle: 0 at time T: 8999392
Hedge 5: X: -1.260000, Y: 0.938000, Z: -1.131000, Angle: 0 at time T: 8999556
Hedge 5: X: -1.259000, Y: 0.933000, Z: -1.137000, Angle: 0 at time T: 8999725
Hedge 5: X: -1.259000, Y: 0.936000, Z: -1.136000, Angle: 0 at time T: 8999888
Hedge 5: X: -1.259000, Y: 0.932000, Z: -1.141000, Angle: 0 at time T: 9000053
Hedge 5: X: -1.261000, Y: 0.936000, Z: -1.135000, Angle: 0 at time T: 9000227
Hedge 5: X: -1.261000, Y: 0.932000, Z: -1.138000, Angle: 0 at time T: 9000403
Hedge 5: X: -1.265000, Y: 0.928000, Z: -1.143000, Angle: 0 at time T: 9000578
Hedge 5: X: -1.257000, Y: 0.933000, Z: -1.139000, Angle: 0 at time T: 9000765
Hedge 5: X: -1.267000, Y: 0.930000, Z: -1.142000, Angle: 0 at time T: 9000945
Hedge 5: X: -1.256000, Y: 0.936000, Z: -1.135000, Angle: 0 at time T: 9001120
Hedge 5: X: -1.258000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 9001295
Hedge 5: X: -1.254000, Y: 0.939000, Z: -1.134000, Angle: 0 at time T: 9001472
Hedge 5: X: -1.257000, Y: 0.935000, Z: -1.137000, Angle: 0 at time T: 9001648
Hedge 5: X: -1.262000, Y: 0.934000, Z: -1.137000, Angle: 0 at time T: 9001828
Hedge 5: X: -1.258000, Y: 0.928000, Z: -1.143000, Angle: 0 at time T: 9002001
Hedge 5: X: -1.257000, Y: 0.935000, Z: -1.137000, Angle: 0 at time T: 9002174
Hedge 5: X: -1.261000, Y: 0.934000, Z: -1.137000, Angle: 0 at time T: 9002349
Hedge 5: X: -1.260000, Y: 0.937000, Z: -1.133000, Angle: 0 at time T: 9002523
Hedge 5: X: -1.264000, Y: 0.932000, Z: -1.140000, Angle: 0 at time T: 9002696
Hedge 5: X: -1.208000, Y: 0.946000, Z: -1.139000, Angle: 0 at time T: 9002864
Hedge 5: X: -1.081000, Y: 1.014000, Z: -1.113000, Angle: 0 at time T: 9003029
Hedge 5: X: -0.818000, Y: 1.115000, Z: -0.998000, Angle: 0 at time T: 9003192
Hedge 5: X: -0.862000, Y: 1.116000, Z: -1.212000, Angle: 0 at time T: 9003357
Hedge 5: X: -0.667000, Y: 1.258000, Z: -1.110000, Angle: 0 at time T: 9003532
Hedge 5: X: -0.474000, Y: 1.416000, Z: -1.084000, Angle: 0 at time T: 9003708
Hedge 5: X: -0.391000, Y: 1.594000, Z: -1.117000, Angle: 0 at time T: 9003890
Hedge 5: X: -0.267000, Y: 1.789000, Z: -1.075000, Angle: 0 at time T: 9004071
Hedge 5: X: -0.224000, Y: 1.931000, Z: -1.106000, Angle: 0 at time T: 9004242
Hedge 5: X: -0.197000, Y: 2.157000, Z: -1.033000, Angle: 0 at time T: 9004412
Hedge 5: X: -0.285000, Y: 2.391000, Z: -1.059000, Angle: 0 at time T: 9004588
Hedge 5: X: -0.304000, Y: 2.634000, Z: -0.957000, Angle: 0 at time T: 9004762
Hedge 5: X: -0.330000, Y: 4.504000, Z: -1.160000, Angle: 0 at time T: 9006121
