발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2010-06-02 11:45,군산,항계내,추진기장애,운항부주의,양호,1,2,0,0,0,36|11|04,126|29|42,어선,6.67,,,,
2010-06-02 02:20,통영,영해,충돌,운항부주의,양호,1,7,0,0,0,33|59|00,128|05|00,어선,43,,,,
2010-06-01 22:40,인천,영해-EEZ,충돌,운항부주의,양호,1,0,0,1,6,36|59|00,125|30|00,어선,69,,,,
2010-06-01 19:22,제주,항계내,추진기장애,운항부주의,양호,1,1,0,0,0,33|31|80,126|32|30,어선,4.97,,,,
2010-06-01 09:38,목포,영해,추진기장애,운항부주의,양호,1,3,0,0,0,34|31|21,125|41|29,어선,6.67,,,,
2010-06-01 07:40,여수,협수로,전복,관리소홀,양호,1,1,0,0,0,34|31|03,127|13|11,어선,0.95,,,,
2010-05-31 23:10,포항,항계내,표류,관리소홀,양호,1,0,0,0,0,36|03|07,129|22|53,어선,3.52,,,,
2010-05-31 11:00,태안,영해,좌초,운항부주의,양호,1,7,0,0,0,36|22|00,126|24|00,어선,19,,,,
2010-05-31 11:00,동해,영해,기관고장,기타,양호,1,2,0,0,0,37|17|50,129|21|50,어선,6.678,,,,
2010-05-31 10:20,동해,영해,기관고장,기타,양호,1,2,0,0,0,37|15|00,129|33|50,어선,2.84,,,,
2010-05-31 07:00,목포,영해,추진기장애,운항부주의,양호,1,2,0,0,0,34|15|78,126|09|95,요트,25,,,,
2010-05-30 09:41,통영,영해,침수,정비불량,양호,1,1,0,0,0,34|51|23,128|17|83,어선,1.98,,,,
2010-05-30 03:40,속초,영해,기관고장,기타,양호,1,2,0,0,0,38|18|40,128|35|42,어선,3.12,,,,
2010-05-29 15:40,태안,영해,충돌,운항부주의,양호,2,31,0,0,0,36|37|00,125|55|00,어선,17,화물선,45811,,
2010-05-29 13:37,여수,항계내,침수,정비불량,양호,1,7,0,0,0,34|36|40,127|43|15,기타,3.62,,,,
2010-05-29 12:30,울산,영해,기타,기상악화,황천5급,1,3,0,0,0,35|20|00,129|19|30,기타,1,,,,
2010-05-29 09:30,여수,협수로,전복,기타,양호,1,1,0,0,0,34|41|49,127|47|44,낚시어선,1.5,,,,
2010-05-29 05:30,서귀포,영해-EEZ,기관고장,정비불량,양호,1,10,0,0,0,32|55|00,126|58|00,어선,29,,,,
2010-05-29 04:00,포항,영해-EEZ,기관고장,정비불량,양호,1,11,0,0,0,36|52|86,130|15|67,어선,69,,,,
2010-05-28 20:15,포항,영해-EEZ,기관고장,정비불량,양호,1,8,0,0,0,35|56|81,130|58|07,어선,29,,,,
2010-05-28 16:00,태안,영해,기관고장,정비불량,양호,1,6,0,0,0,36|16|00,126|11|00,어선,12,,,,
2010-05-28 13:00,속초,영해-EEZ,기관고장,기타,양호,1,6,0,0,0,37|52|78,130|49|42,어선,42,,,,
2010-05-28 06:50,포항,항계내,전복,기상악화,양호,1,2,0,0,0,36|37|46,129|24|78,어선,2.95,,,,
2010-05-28 06:10,군산,항계내,전복,관리소홀,양호,1,0,0,0,0,35|59|30,126|42|02,어선,16,,,,
2010-05-27 16:59,부산,항계내,표류,기상악화,풍랑주의보,1,3,0,0,0,35|05|40,129|07|59,요트,3,,,,
2010-05-27 15:19,여수,협수로,침수,기상악화,양호,1,0,0,0,0,34|36|38,127|49|47,어선,7,,,,
2010-05-27 13:30,서귀포,항계내,좌초,운항부주의,양호,1,7,0,0,0,33|31|30,126|54|00,어선,11,,,,
2010-05-27 12:18,목포,협수로,기관고장,정비불량,양호,1,2,0,0,0,35|00|04,126|05|01,어선,18,,,,
2010-05-27 12:00,완도,협수로,기관고장,정비불량,양호,1,1,0,0,0,34|24|30,126|51|80,기타,2,,,,
2010-05-26 19:01,목포,항계내,침수,운항부주의,양호,1,0,0,0,0,34|48|00,126|21|00,화물선,124,,,,
2010-05-26 18:19,통영,영해,충돌,운항부주의,양호,2,3,0,0,0,34|42|27,128|18|14,어선,2.5,어선,4.09,,
2010-05-26 16:30,군산,영해,침수,운항부주의,양호,1,3,0,0,0,35|36|65,126|25|80,모터보트,0.96,,,,
2010-05-26 15:20,군산,영해,기관고장,정비불량,양호,1,2,0,0,0,36|00|36,126|38|25,어선,29,,,,
2010-05-26 14:49,태안,영해,충돌,운항부주의,양호,2,7,0,0,0,36|18|16,126|19|43,어선,4.87,어선,4.23,,
2010-05-26 13:56,통영,항계내,침수,정비불량,양호,1,2,0,0,0,34|53|11,128|28|25,어선,1.85,,,,
2010-05-26 09:45,인천,영해,충돌,운항부주의,양호,2,4,0,0,0,37|20|19,126|30|48,어선,2,어선,2,,
2010-05-25 23:40,울산,항계내,표류,관리소홀,풍랑주의보,2,0,0,0,0,35|30|04,129|22|23,기타,18,기타,17,,
2010-05-24 07:50,목포,항계내,침수,관리소홀,양호,1,0,0,0,0,35|09|00,126|22|00,어선,6.11,,,,
2010-05-24 06:57,부산,항계내,전복,기타,황천4급,1,1,0,2,0,35|01|41,128|58|42,어선,1.76,,,,
2010-05-23 07:20,부산,항계내,침수,기상악화,풍랑주의보,1,2,0,0,0,35|05|68,129|04|22,예부선,770,,,,
2010-05-22 17:10,태안,영해,기관고장,정비불량,양호,1,4,0,0,0,36|57|26,126|10|06,모터보트,2.24,,,,
2010-05-22 12:07,군산,영해,기타,정비불량,양호,1,8,0,0,0,36|01|4,126|15|3,낚시어선,6.63,,,,
2010-05-22 08:25,제주,영해,기관고장,정비불량,황천4급,1,5,0,0,0,33|18|00,126|03|00,어선,8.55,,,,
