발생일시,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2019-12-11 23:13,목포,항계 내,34 | 21 | 59,126 | 8 | 5,양호,정비불량,침수,1,5,5,0,0,0,어선,9.77
2019-12-11 12:00,포항,영해,36 | 9 | 0,129 | 24 | 0,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,0.1
2019-12-11 10:38,태안,영해,36 | 37 | 54,125 | 45 | 45,황천6급,운항부주의,기관손상,1,10,10,0,0,0,어선,72
2019-12-11 09:00,여수,항계 내,34 | 35 | 6,127 | 46 | 6,양호,관리소홀,기관손상,1,21,21,0,0,0,낚시어선,9.77
2019-12-11 11:58,포항,영해,36 | 10 | 60,129 | 37 | 60,양호,정비불량,기관손상,1,3,3,0,0,0,어선,9.77
2019-12-11 08:35,통영,협수로,34 | 46 | 5,128 | 13 | 44,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,3.29
2019-12-11 01:45,제주,영해,33 | 28 | 60,126 | 12 | 0,양호,정비불량,운항저해,1,3,3,0,0,0,어선,5.6
2019-12-10 23:47,목포,영해,34 | 22 | 54,126 | 0 | 24,양호,관리소홀,부유물감김,1,3,3,0,0,0,요트,14
2019-12-10 11:40,포항,영해,36 | 15 | 0,130 | 15 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,예부선,79
2019-12-10 10:26,통영,협수로,34 | 51 | 43,128 | 44 | 4,양호,정비불량,운항저해,1,2,2,0,0,0,어선,2.99
2019-12-10 10:10,통영,협수로,34 | 47 | 39,128 | 27 | 9,양호,연료고갈,운항저해,1,21,21,0,0,0,낚시어선,9.77
2019-12-10 09:19,통영,협수로,34 | 52 | 17,128 | 5 | 24,양호,정비불량,기관손상,1,5,5,0,0,0,낚시어선,9.77
2019-12-10 08:30,울진,영해,36 | 33 | 33,129 | 26 | 30,양호,안전부주의,충돌,1,0,0,0,0,0,어선,5.53
2019-12-10 08:30,울진,영해,36 | 33 | 33,129 | 26 | 30,양호,안전부주의,충돌,1,1,1,0,0,0,어선,0.91
2019-12-10 02:14,동해,영해,37 | 31 | 60,129 | 10 | 60,양호,정비불량,기관손상,1,4,4,0,0,0,어선,9.77
2019-12-09 21:03,포항,영해,36 | 1 | 0,129 | 25 | 0,양호,운항부주의,추진기손상,1,1,1,0,0,0,어선,1.52
2019-12-10 07:57,목포,영해,34 | 43 | 50,125 | 27 | 3,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,29
2019-12-09 17:31,제주,항계 내,33 | 31 | 60,126 | 51 | 0,양호,정비불량,운항저해,1,2,2,0,0,0,어선,3
2019-12-09 17:40,여수,항계 내,34 | 27 | 47,127 | 27 | 34,양호,운항부주의,기관손상,1,2,2,0,0,0,기타,3.79
2019-12-09 17:25,목포,영해,34 | 22 | 60,125 | 35 | 57,양호,정비불량,기관손상,1,21,21,0,0,0,낚시어선,9.77
2019-12-09 15:07,서귀포,영해,33 | 10 | 30,126 | 14 | 14,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,2.4
2019-12-09 10:38,목포,EEZ-30마일 이내,34 | 30 | 8,124 | 9 | 46,양호,운항부주의,부유물감김,1,13,13,0,0,0,어선,29
2019-12-09 09:08,완도,항계 내,34 | 18 | 59,126 | 46 | 9,양호,관리소홀,침수,1,0,0,0,0,0,모터보트,1.27
2019-12-09 07:58,울진,영해,36 | 52 | 0,129 | 27 | 0,양호,정비불량,기관손상,1,1,1,0,0,0,어선,2.99
2019-12-09 07:59,동해,영해,37 | 20 | 18,129 | 19 | 4,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.4
2019-12-08 18:30,군산,항계 내,35 | 59 | 9,126 | 38 | 56,양호,운항부주의,충돌,1,3,3,0,0,0,기타,3
2019-12-08 18:29,인천,항계 내,37 | 26 | 16,126 | 35 | 4,양호,정비불량,기관손상,1,1,1,0,0,0,기타,8.8
2019-12-08 17:23,평택,영해,36 | 59 | 47,125 | 54 | 59,양호,정비불량,기관손상,1,13,13,0,0,0,유조선,2997
2019-12-08 18:30,군산,항계 내,35 | 59 | 9,126 | 38 | 56,양호,운항부주의,충돌,1,2,1,0,1,0,어선,1.98
2019-12-08 16:47,목포,영해,34 | 16 | 49,125 | 58 | 27,양호,정비불량,추진기손상,1,22,22,0,0,0,낚시어선,9.77
2019-12-08 15:42,인천,영해,37 | 36 | 46,125 | 42 | 57,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,9.77
2019-12-08 13:57,서귀포,영해-EEZ,33 | 18 | 25,127 | 7 | 5,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,40
2019-12-08 15:09,동해,영해,37 | 7 | 0,132 | 3 | 0,양호,운항부주의,부유물감김,1,7,7,0,0,0,어선,24
2019-12-08 10:12,여수,항계 내,34 | 28 | 20,127 | 31 | 24,양호,관리소홀,기관손상,1,13,13,0,0,0,낚시어선,9.77
2019-12-08 07:22,울산,영해,35 | 10 | 0,129 | 13 | 17,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.55
2019-12-08 10:10,목포,영해,35 | 15 | 56,126 | 9 | 9,양호,정비불량,작업 중 인명사상,1,1,1,1,0,0,어선,9.77
2019-12-08 06:00,군산,영해,35 | 51 | 0,126 | 20 | 10,양호,운항부주의,접촉,1,21,21,10,0,0,낚시어선,9.77
2019-12-08 02:56,제주,영해,33 | 40 | 0,126 | 27 | 0,양호,운항부주의,부유물감김,1,18,18,0,0,0,낚시어선,9.77
2019-12-08 02:16,여수,항계 내,34 | 31 | 28,127 | 7 | 38,양호,관리소홀,운항저해,1,4,4,0,0,0,어선,1.04
2019-12-07 22:16,포항,영해,36 | 1 | 60,129 | 36 | 0,양호,정비불량,기관손상,1,5,5,0,0,0,예부선,80
2019-12-07 20:17,목포,영해,35 | 14 | 43,125 | 25 | 24,양호,정비불량,기관손상,1,4,4,0,0,0,어선,9.77
2019-12-07 11:30,포항,영해,0 | 0 | 0,0 | 0 | 0,양호,운항부주의,추진기손상,1,4,4,0,0,0,어선,5.2
2019-12-07 11:48,속초,영해,38 | 10 | 39,128 | 38 | 13,양호,운항부주의,부유물감김,1,10,10,0,0,0,낚시어선,6.67
2019-12-07 07:06,완도,항계 내,34 | 20 | 5,126 | 44 | 57,양호,운항부주의,접촉,1,17,17,15,0,0,낚시어선,9.77
2019-12-06 19:13,창원,영해,35 | 5 | 26,128 | 40 | 17,양호,운항부주의,충돌,1,2,2,0,0,0,어선,4.86
2019-12-06 19:13,창원,영해,35 | 5 | 26,128 | 40 | 17,양호,운항부주의,충돌,1,3,3,0,0,0,예부선,45
