Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner,Date entity introduced on RGC,Entity start date
E92,Country,CTRY,Administrative,England,"W92, S92, N92, L93, M83",Current,1,0,0,n/a,E92000001,E92000001,E92999999,ONS,01/01/2009,01/01/2009
E00,Output Areas,OA,Statistical Building Block,England,"W00, S00, N00",Current,"171,372","7,582",0,31/12/2011,E00000001,E00176774,E00999999,ONS,01/01/2009,01/01/2009
E01,"Super Output Areas, Lower Layer",LSOA,Statistical Building Block,England,"W01, S01",Current,"32,844","1,357",0,31/12/2011,E01000001,E01033768,E01999999,ONS,01/01/2009,01/01/2003
E02,"Super Output Areas, Middle Layer",MSOA,Statistical Building Block,England,"W02, S02",Current,"6,791",141,0,31/12/2011,E02000001,E02006934,E02999999,ONS,01/01/2009,01/01/2003
E04,Civil Parishes,PAR,Administrative,England,n/a,Current,"10,464","3,229",0,01/04/2019,E04000001,E04012987,E04999999,MHCLG,01/01/2009,01/01/2009
E05,Electoral Wards/Divisions,WD,Administrative/Electoral,England,"W05, S13, N08",Current,"7,219","6,227",0,02/05/2019,E05000026,E05012989,E05999999,MHCLG,01/01/2009,01/01/2009
E06,Unitary Authorities,UA,Administrative,England,n/a,Current,56,3,0,01/04/2019,E06000001,E06000059,E06999999,MHCLG,01/01/2009,01/01/2009
E07,Non-metropolitan Districts,NMD,Administrative,England,n/a,Current,192,55,0,01/04/2019,E07000004,E07000246,E07999999,MHCLG,01/01/2009,01/01/2009
E08,Metropolitan Districts,MD,Administrative,England,n/a,Current,36,1,0,01/04/2013,E08000001,E08000037,E08999999,MHCLG,01/01/2009,01/01/2009
E09,London Boroughs,LONB,Administrative,England,n/a,Current,33,0,0,n/a,E09000001,E09000033,E09999999,MHCLG,01/01/2009,01/01/2009
E10,Counties,CTY,Administrative,England,n/a,Current,26,8,0,01/04/2019,E10000002,E10000034,E10999999,MHCLG,01/01/2009,01/01/2009
E11,Metropolitan Counties,MCTY,Administrative,England,n/a,Current,6,1,0,01/04/2013,E11000001,E11000007,E11999999,MHCLG,01/01/2009,01/01/2009
E12,Regions,RGN,Administrative,England,n/a,Current,9,0,0,n/a,E12000001,E12000009,E12999999,ONS,01/01/2009,01/01/2009
E13,Inner and Outer London,IOL,Statistical Building Block,England,n/a,Current,2,0,0,n/a,E13000001,E13000002,E13999999,MHCLG,01/01/2009,01/01/2009
E14,Westminster Parliamentary Constituencies,WPC,Electoral,England,"W07, S14, N06",Current,533,529,0,06/05/2010,E14000530,E14001062,E14999999,LGBC,01/01/2009,01/01/2009
E15,European Electoral Regions,EER,Electoral,England,"W08, S15, N07",Current,9,0,0,n/a,E15000001,E15000009,E15999999,ONS,01/01/2009,01/01/2009
E16,Primary Care Trusts,PCT,Health,England,n/a,Archived,0,151,0,31/03/2013,E16000001,E16000151,E16999999,ODS,01/01/2009,01/01/2009
