pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"DG109HQ","DG10 9HQ","DG10 9HQ","200503","","0","309344","0605328","1","S00098434","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007644","S02001437","S34000909","S03000005","S99999999","S99999999","7","6A4",55.333612,-3.430636,"S99999999","S99999999","S23000009",3637,"S99999999","S99999999"
"DG109HR","DG10 9HR","DG10 9HR","198001","","0","308415","0605473","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.334742,-3.445323,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HS","DG10 9HS","DG10 9HS","198001","","0","308443","0605503","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.335017,-3.444892,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HT","DG10 9HT","DG10 9HT","198001","","0","308491","0605516","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.335142,-3.444140,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HU","DG10 9HU","DG10 9HU","198001","","0","308469","0605574","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.335659,-3.444505,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HW","DG10 9HW","DG10 9HW","198001","","0","308386","0605503","1","S00098119","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","8C2",55.335006,-3.445790,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HX","DG10 9HX","DG10 9HX","198001","","0","308395","0605744","1","S00098124","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","1C3",55.337173,-3.445727,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HY","DG10 9HY","DG10 9HY","198001","","0","308339","0605602","1","S00098119","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","8C2",55.335887,-3.446563,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HZ","DG10 9HZ","DG10 9HZ","198001","","0","308302","0605550","1","S00098190","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","8C2",55.335413,-3.447129,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109JA","DG10 9JA","DG10 9JA","198001","","0","308236","0605661","1","S00098190","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","8C2",55.336397,-3.448206,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
