frame_num,id,d2x,d2y,rx,ry,heading
55,V5,733,368,79897,40112,S
55,V4,731,424,79679,46216,N
56,V40,538,541,58642,58969,N
56,V16,733,482,79897,52538,N
56,V15,1552,576,169168,62784,N
56,V14,1279,524,139411,57116,N
56,V13,1114,535,121426,58315,N
56,V12,933,562,101697,61258,N
56,V11,1421,505,154889,55045,N
56,V10,1295,430,141155,46870,N
56,V9,729,564,79461,61476,N
56,V8,1197,463,130473,50467,N
56,V6,1055,471,114995,51339,N
56,V4,731,424,79679,46216,N
57,V40,539,540,58751,58860,N
57,V16,733,482,79897,52538,N
57,V15,1551,576,169059,62784,N
57,V14,1279,523,139411,57007,N
57,V13,1114,535,121426,58315,N
57,V12,933,562,101697,61258,N
57,V11,1421,504,154889,54936,N
57,V10,1295,430,141155,46870,N
57,V9,728,564,79352,61476,N
57,V8,1196,463,130364,50467,N
57,V4,731,424,79679,46216,N
58,V40,539,538,58751,58642,N
58,V16,733,482,79897,52538,N
58,V15,1551,575,169059,62675,N
58,V14,1279,524,139411,57116,N
58,V13,1113,536,121317,58424,N
58,V12,934,564,101806,61476,N
58,V11,1420,505,154780,55045,N
58,V10,1296,430,141264,46870,N
58,V9,727,563,79243,61367,N
58,V8,1197,463,130473,50467,N
58,V4,731,425,79679,46325,N
59,V40,539,540,58751,58860,N
59,V16,733,482,79897,52538,N
59,V15,1551,576,169059,62784,N
59,V14,1280,523,139520,57007,N
59,V13,1115,537,121535,58533,N
59,V12,933,563,101697,61367,N
59,V11,1421,504,154889,54936,N
59,V10,1295,431,141155,46979,N
59,V9,728,563,79352,61367,N
59,V8,1198,464,130582,50576,N
59,V6,1055,470,114995,51230,N
59,V4,732,423,79788,46107,N
60,V40,538,541,58642,58969,N
60,V16,732,481,79788,52429,N
60,V15,1551,576,169059,62784,N
60,V14,1280,523,139520,57007,N
60,V13,1114,536,121426,58424,N
60,V12,934,563,101806,61367,N
60,V11,1421,505,154889,55045,N
60,V10,1296,431,141264,46979,N
60,V9,728,564,79352,61476,N
60,V8,1198,464,130582,50576,N
60,V6,1055,471,114995,51339,N
60,V4,731,424,79679,46216,N
61,V40,541,542,58969,59078,N
61,V16,735,482,80115,52538,N
61,V15,1552,575,169168,62675,N
61,V14,1281,524,139629,57116,N
61,V13,1115,536,121535,58424,N
61,V12,933,563,101697,61367,N
61,V11,1421,505,154889,55045,N
61,V10,1296,430,141264,46870,N
61,V9,732,564,79788,61476,N
61,V8,1198,464,130582,50576,N
61,V4,732,424,79788,46216,N
62,V40,540,541,58860,58969,N
62,V16,736,482,80224,52538,N
62,V15,1552,576,169168,62784,N
62,V14,1281,524,139629,57116,N
62,V13,1115,537,121535,58533,N
