Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
464000,2.3881226,0.67951554,1905.0,47.63499712944031,47.63499712944031,1.0
465000,2.3946722,0.68126243,None,None,None,1.0
466000,2.413586,0.68686724,None,None,None,1.0
467000,2.4115818,0.6833044,None,None,None,1.0
468000,2.4050868,0.68656605,None,None,None,1.0
469000,2.4019094,0.68695664,None,None,None,1.0
470000,2.3959074,0.6861655,None,None,None,1.0
471000,2.3925407,0.6849481,None,None,None,1.0
472000,2.4037864,0.68663734,2049.0,51.23999694734812,51.23999694734812,1.0
473000,2.404645,0.6850615,None,None,None,1.0
474000,2.4131851,0.6853014,3521.0,86.76999489963055,86.76999489963055,1.0
475000,2.4097579,0.6851588,None,None,None,1.0
476000,2.4134777,0.6768941,None,None,None,1.0
477000,2.3990536,0.680391,2217.5,55.27499654889107,55.27499654889107,1.0
478000,2.4124932,0.68590045,297.0,7.434999585151672,7.434999585151672,1.0
479000,2.4240227,0.68639314,4290.0,106.36499373987317,106.36499373987317,1.0
480000,2.4220526,0.68707436,None,None,None,1.0
481000,2.4142148,0.683629,432.3333333333333,10.831665953000387,10.831665953000387,1.0
482000,2.4017286,0.6862047,340.0,8.50499951839447,8.50499951839447,1.0
483000,2.3956933,0.68231356,222.33333333333334,5.576666260759036,5.576666260759036,1.0
484000,2.3893201,0.68904257,None,None,None,1.0
485000,2.386573,0.6840774,None,None,None,1.0
486000,2.3754034,0.68294156,None,None,None,1.0
487000,2.3753076,0.68711823,None,None,None,1.0
488000,2.3871706,0.6868105,None,None,None,1.0
489000,2.3911052,0.680347,4204.0,104.81499373912811,104.81499373912811,1.0
490000,2.3955083,0.68679774,None,None,None,1.0
491000,2.3950796,0.6840489,None,None,None,1.0
